	001A	001B	002B	004B	006A	006B	008A	009A	009B	010A	010B	012A	012B	013A	014B	016B	017B	018B	020B	27S	30S	4S
Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)	2	4	4	1	253	1	352	165	2	135	519	212	589	111	231	246	442	212	2	56	4	4
Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, alpha subunit (EC 2.7.1.90)	0	0	0	0	6	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0
Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, beta subunit (EC 2.7.1.90)	8	29	10	11	1360	10	936	2225	5	8058	8	732	2313	3272	5839	722	10206	4988	7	4650	3	3
Pyrophosphate-energized proton pump (EC 3.6.1.1)	7	20	16	6	1835	5	95	1407	3	7014	3	4305	129	16	23	33	80	43	4	59	2	2
Pyrophosphate-specific outer membrane porin OprO	2	6	6	3	123	11	346	555	4	7389	5	2082	1512	4843	3316	2367	12609	2418	4	845	1	2
Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)	3496	1211	2743	3420	1008	2295	2107	2685	594	152	532	2335	1483	1646	2173	2450	1163	558	970	403	1175	1475
Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	126	9	16	6	451	5	1715	571	8	282	9	525	748	247	896	640	1577	648	11	312	6	7
Pyruvate carboxyl transferase (EC 6.4.1.1)	30	30	31	12	2455	16	1410	2137	7	6933	25	2039	3356	2953	5265	1406	10851	5016	17	6504	9	8
Pyruvate carboxyl transferase subunit B (EC 6.4.1.1)	4	5	4	2	574	3	1301	744	3	253	4	594	510	470	1401	1222	1163	954	1	462	1	0
Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0
Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	6	13	2	29	6	1	2	13	86	2	75	2	3	24	19	2	11	4	12	13	61	77
Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	2	2	7	37	2	1	10	9	87	3	41	15	3	2	50	5	18	6	11	22	114	79
Pyruvate formate-lyase (EC 2.3.1.54)	812	381	211	175	57427	250	53986	114156	138	57864	165	93869	80145	26429	41110	57753	83856	54013	139	31327	88	86
Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	269	126	84	70	13950	65	22693	29050	60	10321	64	18963	33847	9061	22330	17196	25386	18702	59	7892	36	21
Pyruvate kinase (EC 2.7.1.40)	18103	104183	53815	63692	11703	33207	33930	39131	43755	14188	35111	34852	26123	25264	30817	62834	39107	18406	18306	30529	36023	42899
Pyruvate oxidase (EC 1.2.3.3)	17553	19716	3370	16126	19	3173	123	22	6754	23	5831	30	26	27	32	36	32	21	13294	16	9972	10964
Pyruvate oxidase [ubiquinone, cytochrome] (EC 1.2.2.2)	0	0	0	1	2	0	0	2	1	6	0	4	0	0	1	1	1	0	0	2	1	2
Pyruvate oxidase, CidC	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	48	117	52	38	7750	31	3499	4083	26	10531	36	2659	3418	3038	4265	3754	20236	10264	37	8108	7	8
Pyruvate,phosphate dikinase (EC 2.7.9.1)	34	71	27	20	1547	27	316	2312	21	12074	39	4378	1085	1546	2394	554	7088	3167	18	1999	8	6
Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1)	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Pyruvate:ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.1)	0	0	0	0	2	0	0	0	0	0	0	0	3	0	2	0	0	2	0	0	0	0
Queuosine Biosynthesis QueC ATPase	3	10	6	4	964	4	471	487	2	1278	2	480	2115	434	939	411	2789	890	4	474	2	2
Queuosine biosynthesis QueD, PTPS-I	3	11	3	3	1154	5	2979	1369	7	525	3	789	601	529	2523	1816	2394	1421	5	448	4	4
Queuosine Biosynthesis QueE Radical SAM	116	330	28	139	330	24	316	275	162	129	101	184	219	116	344	193	393	241	141	126	230	247
quinol oxidase polypeptide I QoxB (EC:1.9.3.-)	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
quinol oxidase polypeptide II QoxA (EC:1.9.3.-)	5	0	0	0	1	2	2	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0
quinol oxidase polypeptide III QoxC (EC:1.9.3.-)	4	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	10	14	14	5	501	10	885	1225	9	6016	5	1074	1807	1726	3924	747	10398	2915	4	2429	2	2
Quinolinate synthetase (EC 2.5.1.72)	6	10	7	6	298	9	839	1197	3	6123	5	182	1971	1658	3400	688	7507	2537	3	1815	2	2
Quinone oxidoreductase (EC 1.6.5.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Radical SAM domain heme biosynthesis protein	44	75	41	45	1966	35	15511	5671	30	3496	39	2787	1088	3252	9881	13841	14276	9042	29	8602	6	3
Radical SAM family enzyme, similar to coproporphyrinogen III oxidase, oxygen-independent, clustered with nucleoside-triphosphatase RdgB	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
Radical SAM family protein HutW, similar to coproporphyrinogen III oxidase, oxygen-independent, associated with heme uptake	5	10	6	6	4756	6	1272	843	4	1360	7	1840	1327	725	639	511	2729	761	4	2127	1	1
Raffinose operon transcriptional regulatory protein RafR	1	812	34	0	0	1	1	0	169	1	230	0	0	0	0	0	0	0	1	0	82	180
Rare lipoprotein A precursor	14	22	11	18	19217	30	389	29654	14	2836	19	16668	2915	2770	3331	1151	5325	750	16	1147	3	6
RecA protein	9265	12409	11085	14155	3139	5815	11645	7828	6135	6744	4532	5653	6927	5852	13815	9470	12201	6235	6368	2799	3542	9094
RecD-like DNA helicase Atu2026	0	0	0	0	37	0	0	3	0	34	0	37	2	2	42	0	4	1	0	1	0	0
RecD-like DNA helicase YrrC	2481	1878	195	629	280	306	517	272	819	108	1297	202	304	134	415	522	586	261	579	126	1640	2114
Recombination inhibitory protein MutS2	2822	1748	2385	3126	1141	2258	1482	1741	836	1303	514	1416	1544	1188	1859	2025	2258	903	1015	854	1312	2330
Recombination protein RecR	4250	7774	4493	6466	3385	2977	4356	6970	3697	5244	4006	5107	4351	3562	4572	6014	5457	2483	941	2327	4301	4511
Recombination protein RecU	790	2039	1637	2675	34	1005	916	615	776	27	480	615	405	591	929	962	229	63	1543	253	650	615
Recombinational DNA repair protein RecT (prophage associated)	1	3	2	1	391	2	9	2015	2	3	3	260	8	1	5	34	34	10	2	17	1	1
Redox-sensitive transcriptional activator SoxR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Redox-sensitive transcriptional regulator (AT-rich DNA-binding protein)	805	1886	1319	1818	3217	954	2510	4529	1046	971	1218	2994	1588	1671	2013	2432	2830	993	336	1016	2382	6203
Regulation of D-alanyl-lipoteichoic acid biosynthesis, DltR	1399	3585	92	343	10	221	19	9	884	18	1137	6	7	7	6	6	9	2	968	35	596	1208
Regulation of D-alanyl-lipoteichoic acid biosynthesis, sensor histidine kinase	631	2291	108	406	4	128	5	2	604	25	700	10	3	3	1	4	4	2	641	2	662	1750
regulator of length of O-antigen component of lipopolysaccharide chains	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Regulator of pectin and galacturonate utilization, GntR family	0	0	1	0	4	0	4	1	0	0	0	1	0	0	0	0	3	1	0	0	0	0
Regulator of polyketide synthase expression	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Regulatory protein (induces abgABT, used to catabolize p-aminobenzoyl-glutamate)	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Regulatory protein SoxS	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Regulatory protein SusR	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	2	1	0	0	0	0	0
Regulatory sensor-transducer, BlaR1/MecR1 family	1	4	2	2	211	1	33	150	1	91	1	110	94	6	88	1	237	86	1	1	1	1
Replication initiation protein, topisomerase	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126
Replicative DNA helicase (EC 3.6.1.-)	73	9	14	4	540	4	1739	441	5	1526	5	270	1106	587	1518	634	3136	1516	8	864	3	2
Replicative DNA helicase (EC 3.6.1.-) [SA14-24]	3622	4575	4116	5124	2025	2858	4590	4641	2047	2010	1718	4132	2857	2873	3605	6360	3201	1194	1384	983	3008	3288
Repressor (CI-like) [Bacteriophage A118]	2	8	13	11	35	2	30	789	3	25	4	7	9	592	1656	961	1872	6	7	39	2	6
Repressor (cro-like) [Bacteriophage A118]	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Resolvase/integrase Bin	7780	4	11	149	5	117	2	1	2	3	1	1	4	3	0	4	0	1	289	0	5	1
Resolvase/Integrase TinR protein	0	2	357	2	1	0	2	0	0	2	2	0	441	2	0	2	0	0	0	0	0	0
Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	0	0	0	0	0	0	0	0	1	1	0	2	1	0	1	1	0	0	1	0	0	0
Respiratory nitrate reductase beta chain (EC 1.7.99.4)	0	1	0	0	13	2	1	1	0	3	0	7	1	1	24	1	1	1	0	0	0	0
Respiratory nitrate reductase delta chain (EC 1.7.99.4)	1	1	1	2	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
Respiratory nitrate reductase gamma chain (EC 1.7.99.4)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Response regulator BaeR	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Response regulator CsrR	1	0	1	1	0	0	4	1	1	0	0	0	0	0	0	3	0	2	211	0	0	0
Response regulator LiaR	0	0	0	0	290	0	0	8	0	46	0	82	4	10	36	0	4	1	0	0	0	0
Response regulator of the competence regulon ComE	11	0	4	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	1	1
Response regulator of zinc sigma-54-dependent two-component system	0	2	2	16	198	81	7	21	0	43	1	69	20	25	55	8	105	7	6	6	1	1
Retron-type reverse transcriptase	12	845	203	4	1139	10	34	695	2185	728	772	368	31	3483	4964	9	6104	1842	7	2494	4421	1015
rhamnogalacturonan acetylesterase	4	20	5	5	351	5	163	515	4	3707	3	90	788	811	2502	126	2026	1324	2	1227	3	3
Rhamnogalacturonide transporter RhiT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
Rhamnulokinase (EC 2.7.1.5)	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	3	0	3	0	0	1	0
Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	0	0	0	0	1	1	3	8	0	5	0	1	0	0	0	14	0	2	0	0	1	0
Rho-specific inhibitor of transcription termination (YaeO)	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Rhodanese-like domain protein	3	4	12	3	91	5	5	54	5	41	3	40	75	4	36	6	39	14	3	4	4	4
Rhodanese-related sulfurtransferases	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Riboflavin kinase (EC 2.7.1.26)	2302	4004	581	1106	1200	457	4354	2318	2021	1550	1176	901	2046	1151	2216	2486	4772	2812	1125	1634	1146	1570
Riboflavin synthase alpha chain (EC 2.5.1.9)	19	32888	83	274	1219	13	1617	782	1706	979	10774	752	882	554	1306	972	2220	744	3098	568	90	13088
Riboflavin transporter PnuX	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ribokinase (EC 2.7.1.15)	27860	21094	3774	6518	7561	1882	3470	7499	3665	1060	6795	7481	3232	1582	2965	4052	4448	1996	493	819	2854	5444
Ribonuclease BN (EC 3.1.-.-)	2317	3563	2830	1846	585	1764	1770	2376	2071	450	1606	1914	894	2223	1906	2555	1142	396	43	550	2589	3573
Ribonuclease D (EC 3.1.26.3)	50	3	2	2	38	3	812	211	1	203	1	100	320	119	429	281	538	428	4	201	1	1
Ribonuclease E (EC 3.1.26.12)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease E inhibitor RraA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Ribonuclease E inhibitor RraB	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1
Ribonuclease HI (EC 3.1.26.4)	955	1434	2026	2972	51	1114	2227	897	910	562	704	1490	1031	1471	1607	1988	1468	1752	730	851	775	751
Ribonuclease HI-related protein	6	14	8	6	32	5	26	66	3	5568	7	124	20	10	13	5	2170	34	4	6	2	2
Ribonuclease HI-related protein 3	4	7	5	8	247	5	52	220	3	381	5	46	161	153	464	46	945	313	1	549	2	2
Ribonuclease HII (EC 3.1.26.4)	1720	1903	4690	4349	623	3453	5125	3379	1177	1320	874	4027	2660	3429	3816	6640	3018	1638	466	1771	733	704
Ribonuclease HIII (EC 3.1.26.4)	11	2	1	4	454	4	892	396	3	151	3	483	760	283	553	733	586	509	2	85	1	1
Ribonuclease I precursor (EC 3.1.27.6)	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease III (EC 3.1.26.3)	2017	1240	2193	3502	6071	1924	8931	5122	640	3973	454	3969	6361	3414	6629	7565	12343	6256	865	4484	1302	1091
Ribonuclease M5 (EC 3.1.26.8)	3559	2340	5632	6409	784	2358	5196	5760	2851	641	1845	3860	2574	2942	5951	4188	3865	819	1637	1120	2205	2518
Ribonuclease P protein component (EC 3.1.26.5)	40872	18464	27938	43082	3289	19740	16088	18877	12420	4142	6265	10109	10655	11589	11136	21600	11038	2953	3390	5476	1731	1431
Ribonuclease PH (EC 2.7.7.56)	147	8	16	4	1122	5	2087	2051	7	779	8	825	1539	653	959	918	2352	1808	8	796	4	4
Ribonuclease Z (EC 3.1.26.11)	3478	7311	6089	8122	84	4074	3292	3572	3602	965	2274	3053	2184	2654	3199	7628	3336	863	1468	1004	2005	3437
Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	5	13	10	6	983	8	324	512	7	1805	5	264	507	830	1933	194	2529	910	5	993	2	1
Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	4	12	8	7	1506	6	254	585	5	1495	5	745	628	677	1857	163	2454	727	4	709	2	2
Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1)	5686	6988	6145	3614	863	2990	1130	3352	2468	268	4677	1298	427	742	684	1178	763	970	71	572	1695	189
Ribonucleotide reductase of class Ib (aerobic), beta subunit (EC 1.17.4.1)	33149	39915	11272	7123	939	5671	1283	4708	16555	519	22837	1412	590	1155	892	1926	1298	1580	319	503	23934	78039
Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)	952	13	5	261	122	488	213	416	10	2046	27	56	544	505	771	218	2008	895	35	459	34	17
Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	3498	42134	6059	11621	753	3945	3582	3866	11622	4108	19248	3519	3133	3863	3422	9609	5810	3821	42290	3288	27391	44057
Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	2286	72959	1757	4149	3213	597	2868	6291	17424	8508	34708	4276	3176	1976	2786	2636	6481	5379	12459	3172	29476	52771
Ribonucleotide reductase transcriptional regulator NrdR	4029	5483	2953	3668	3484	1776	5057	4795	1714	1528	1859	3711	4349	1992	4457	4664	4234	1964	355	1265	1903	2337
Ribonucleotide reduction protein NrdI	53504	60681	13946	9328	773	8497	3550	4721	24619	613	37264	2062	876	1335	1173	2550	1992	2693	308	317	32575	90694
Ribose 1,5-bisphosphate or 5-ribose-1,2-cyclic phosphate dehydrogenase	1	5	3	1	46	3	5	90	1	827	3	1008	1	92	349	34	280	19	3	1	1	1
Ribose 5-phosphate isomerase A (EC 5.3.1.6)	23516	6887	1878	3698	265	1036	7846	2022	1903	1321	2401	1958	4300	1026	2649	5050	13739	6669	1247	909	3220	6010
Ribose 5-phosphate isomerase B (EC 5.3.1.6)	52	32	32	17	5808	25	2098	5409	21	6134	22	4060	4413	2379	4736	2283	7740	3846	17	1872	13	12
Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	13	888	56	722	163	3	348	107	4	283	3	140	971	57	61	234	458	152	3	290	57	163
Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	9729	702	103	694	209	256	306	83	5	1799	10	94	2434	205	337	2531	3112	3621	71	230	103	114
Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	40	529	59	550	231	5	607	120	3	995	630	240	4044	164	170	595	1595	582	11	355	83	21
Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	22	302	25	289	373	5	110	136	5	311	14	211	644	49	64	178	324	128	5	168	8	136
Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	0	0	0	0	5	0	0	0	0	5	0	1	4	0	0	0	0	0	0	0	0	0
Ribose operon repressor	174	72	46	73	45	12	409	2233	7	1764	7	236	5822	213	565	2533	10307	10006	10	918	3	4
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	4536	21559	15389	17822	6146	7769	15229	17441	9370	11190	7092	13294	10715	10972	17868	13567	17440	9248	2067	10512	20248	29413
Ribose/xylose/arabinose/galactoside ABC-type transport systems, ATP-binding protein (EC 3.6.3.17)	0	1	0	1	1	0	2	2	0	1	0	0	69	3	4	18	1	1	1	1	0	0
Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease component 1	0	0	0	0	2	0	0	0	0	3	0	0	82	3	6	18	0	1	0	0	0	0
Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70)	0	1	1	1	58	1	2	54	0	13	1	16	25	4	36	1	25	5	0	3	1	1
Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)	1527	2604	3080	3488	3330	2281	4349	4421	1912	6215	1512	2914	4068	3432	5486	4945	11376	4312	1865	2341	1226	2191
Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)	3	10	6	3	789	3	21	718	1	95	3	488	68	53	97	34	148	52	4	6	2	2
Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)	2905	2364	7720	8757	2147	8766	3077	3406	1383	4027	809	2826	2282	2384	3545	3616	5892	2739	1513	1887	1843	1321
Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ribosomal large subunit pseudouridine synthase F (EC 4.2.1.70)	0	4	1	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Ribosomal protein L11 methyltransferase (EC 2.1.1.-)	1613	3667	735	1842	1789	321	909	1534	2121	1391	1601	1227	1460	712	1091	1011	1723	799	987	561	1304	1456
ribosomal protein L7Ae family protein	10380	11251	4128	9313	2298	3747	5516	5670	7024	2069	4291	2971	4054	3866	3521	4820	3597	1327	3339	444	1933	2506
Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase	15	20	14	11	1354	11	1139	1220	8	2988	39	617	1028	833	1691	1350	3631	1759	8	1192	3	3
Ribosomal protein S6 glutaminyl transferase	0	1	0	0	6	1	0	4	0	3	0	11	0	0	0	1	0	1	0	0	0	0
Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.51)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)	4	7	5	3	361	5	120	237	3	1105	4	125	237	182	433	119	1112	635	4	269	3	4
Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)	3461	9351	2201	2657	710	1677	1522	1550	4275	1816	3786	1782	914	1400	952	1903	993	296	917	304	3401	4087
Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.52)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)	2077	3273	2762	4028	2053	1685	4552	3540	2075	979	1078	3004	3765	2045	3117	4449	4490	2402	557	844	917	1054
Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	106	26	30	22	1436	14	2023	1374	8	984	10	939	1763	567	1520	1248	2383	1319	12	781	10	10
Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.-)	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-)	6	3	1	1	37	0	35	34	0	5	1	14	1	13	14	5	13	107	0	8	1	1
Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)	1767	1267	140	1366	922	241	314	566	602	110	390	345	187	153	456	179	346	171	1831	108	327	409
Ribosomal subunit interface protein	17481	25158	19643	15828	15618	9521	44892	43707	8873	27537	23895	51498	33710	23532	40484	66854	78102	35075	1826	4900	10590	16788
Ribosomal-protein-L7p-serine acetyltransferase	6184	707	9	237	5	267	8	6	2351	7	355	5	5	8	4	3	5	4	68	4	60	68
Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)	36998	58082	5669	6486	986	7206	3699	3298	34438	1136	7657	2421	3345	2105	2283	5096	3343	2522	417	591	23847	19380
Ribosomal-protein-S5p-alanine acetyltransferase	892	1535	3023	6159	450	2891	6712	4599	994	592	670	3544	2725	2367	7303	4999	4700	1247	852	913	452	607
Ribosome hibernation protein YfiA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	3	1
Ribosome hibernation protein YhbH	36	76	45	24	13461	40	3875	5937	21	39535	34	4788	8703	9319	15043	4138	46663	22196	34	17294	15	10
Ribosome protection-type tetracycline resistance related proteins, group 2	404	527	12	21	0	75	1	1	278	0	198	1	1	0	1	1	1	1	3	1	128	282
Ribosome recycling factor	3674	16682	11627	12380	8921	6321	15343	12826	9107	15498	6170	11139	8667	7912	17702	12372	18046	9898	3103	5420	7305	8140
Ribosome small subunit-stimulated GTPase EngC	3196	2387	4817	5764	1129	4168	3697	3067	1351	1599	723	2877	2569	3372	2755	4679	2660	1125	1249	1227	1449	1271
Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	4	5	5	8	347	6	135	265	6	1322	5	104	179	477	645	151	1449	829	5	473	5	5
Ribosome-binding factor A	7871	5720	4062	6761	3858	2826	5317	9160	4445	5308	2024	5713	3082	2719	4208	5192	4623	2574	4089	3767	8128	9541
Ribosyl nicotinamide transporter, PnuC-like	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Ribosylnicotinamide kinase (EC 2.7.1.22)	2	4	5	4	1936	3	94	1903	1	1305	2	940	581	413	630	103	1616	529	1	72	1	3
Ribulokinase (EC 2.7.1.16)	2	0	1	0	1	0	3	1	1	1	0	1	8	0	0	7	16	1	0	2	0	0
Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	3037	3137	3089	4091	1447	2927	6528	3211	1876	3643	1032	2946	4936	3850	5109	5926	9758	6126	1057	5474	1202	1186
Right origin-binding protein	1	0	1	0	16	1	0	19	0	15	0	30	1	0	0	0	0	3	1	0	0	0
RNA 3'-terminal phosphate cyclase (EC 6.5.1.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RNA binding methyltransferase FtsJ like	0	0	0	1	24	0	0	12	0	11	0	12	1	0	8	0	1	6	0	1	0	0
RNA binding protein, contains ribosomal protein S1 domain	2162	5857	3321	4836	8769	1797	11871	5411	2743	1910	4075	7647	25600	4816	7144	8312	7884	4906	1969	2307	3285	4740
RNA methyltransferase, TrmA family	2145	7961	3389	4220	736	1809	3083	3041	4843	437	2859	2510	1624	2060	3407	3453	1456	834	1498	492	3510	4436
RNA polymerase sigma factor	1	1	9	1	39	1	1	7	1	8	1	1	3	7	2	4	44	2	1	2	1	1
RNA polymerase sigma factor for flagellar operon	0	0	0	0	434	1	27	399	0	3227	2	1821	0	4	0	5	0	1	0	0	0	0
RNA polymerase sigma factor RpoD	3087	18269	7050	7903	8099	3675	10406	12699	5177	10825	7080	11888	8148	7415	9677	13406	16919	9979	2396	5318	5145	8618
RNA polymerase sigma factor RpoE	11	14	9	4	19	7	379	347	6	13440	12	17	1712	839	853	588	5270	2290	11	1629	2	1
RNA polymerase sigma factor RpoH	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
RNA polymerase sigma factor RpoS	4	11	7	5	639	3	1862	759	3	350	3	714	744	652	1497	1629	2135	1235	5	289	2	1
RNA polymerase sigma factor SigB	1	8	7	2	17	2	12	50	1	20	2	37	5	7	9	4	14	5	2	3	2	2
RNA polymerase sigma factor SigV	1	2	1	1	1	1	9	12	2	90	1	1	25	24	51	9	98	31	1	30	1	1
RNA polymerase sigma factor SigW	1	6	5	4	103	1	4	18	1	31	1	70	19	1	33	4	43	14	1	11	1	1
RNA polymerase sigma factor SigZ	0	4	3	0	120	0	10	49	0	32	0	63	0	0	0	24	5	14	0	0	0	0
RNA polymerase sigma-54 factor RpoN	10	14	936	834	1536	205	1606	1746	13	3154	7	884	1145	1297	1932	1227	2784	1501	10	647	248	12
RNA polymerase sigma-70 factor	12	3	6	2	746	2	77	131	2	356	2	241	352	66	297	476	1027	667	4	154	2	2
RNA polymerase sporulation specific sigma factor SigG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RNA polymerase sporulation specific sigma factor SigH	3	7	3	6	469	1	1296	651	2	212	3	602	259	469	1164	1527	1322	829	1	359	1	1
RNA polymerase sporulation specific sigma factor SigK	0	0	0	0	5	0	2	10	0	14	0	1	1	0	6	0	20	2	0	0	0	0
RNA pseudouridylate synthase, group 1	2	5	4	1	293	4	47	309	1	593	2	52	165	171	465	32	975	341	1	224	3	2
RNA-binding protein Hfq	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	6	1	1	1	1	3	1
RND efflux system, inner membrane transporter CmeB	3	7	7	4	139	4	135	137	3	191	4	73	236	231	419	73	827	138	3	438	1	1
RND efflux system, membrane fusion protein CmeA	18	32	7	15	4	4	9	9	7	11	3	19	5	5	4	146	49	8	77	4	1	1
RND efflux system, outer membrane lipoprotein CmeC	1	5	9	2	201	1	44	200	1	95	1	128	141	31	70	4	1102	107	1	16	1	1
RND efflux system, outer membrane lipoprotein, NodT family	0	1	3	0	1	0	24	25	0	137	2	1	29	120	198	6	499	14	1	306	1	1
Rod shape-determining protein MreB	19248	23358	19991	30511	5831	13605	14720	18086	11459	8498	9312	11887	9525	12494	16614	15269	14911	5284	15170	10943	10942	15851
Rod shape-determining protein MreC	6317	7258	4442	6325	1049	3131	3654	4695	4824	3437	2490	3355	2292	2736	3488	3107	4891	1581	3913	4781	2544	2957
Rod shape-determining protein MreD	1408	3228	1283	1762	346	777	1504	1019	2406	540	1148	1139	718	550	1025	1388	1201	604	1743	593	4142	6121
Rod shape-determining protein RodA	40	10	18	9	631	6	385	745	19	626	4	579	568	280	526	407	1197	520	31	443	9	11
RofA-like transcriptional regulator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
